PROJ_NAME,ZIPCODE,SECTION8,RES_UNITS,ST_NUM,ST_NAME,CITY
Geneva Ave 202 - Pine Street,2121.0,,11,22.0,Beechwood St, Dorchester
Geneva Avenue Elderly Housing,2121.0,,45,22.0,Beechwood St, Dorchester
Georgetowne Housing I,2136.0,,601,400.0,Georgetowne Dr, Hyde Park
Georgetowne Housing II,2136.0,,366,400.0,Georgetowne Dr, Hyde Park
Gleason Street MIHI Package 2,2121.0,,8,489.0,Blue Hill Avenue, Dorchester
Glenville Apartments,2134.0,Y,117,1285.0,Commonwealth Ave, Allston
Glenway|Roxton NHI,2121.0,,6,,,
Goddard House,2115.0,,149,165.0,Chestnut St, Brookline
Gomes (VUP),2124.0,,1,321.0,Centre St, Boston
Goodale Rd. - HOME AGAIN,2126.0,,10,,Goodale Rd, Boston
Gordon's Wood,2132.0,,42,,,
Governor Apartments,2134.0,Y,87,209.0,Kelton St, Allston
Grand families,2124.0,,27,,,
Granite 1B:VBC Apts.-Blue Hill,2121.0,Y,30,754.0,Blue Hill Avenue, Dorchester
Granite 3-Blue Hill,2121.0,Y,148,754.0,Blue Hill Avenue, Dorchester
Granite 4B,2121.0,Y,141,754.0,Blue Hill Avenue, Dorchester
Granite-Dorchester Bay,2125.0,Y,134,5.0,Allstate Rd, Boston
Granite-Fields Corner,2121.0,Y,67,754.0,Blue Hill Avenue, Dorchester
Granite-La Concha/Nuestra,2119.0,Y,97,,,
Granite-Lena Park,2121.0,Y,143,754.0,Blue Hill Avenue, Dorchester
Granite-Quincy-Geneva,2121.0,Y,94,320.0,Blue Hill Avenue # B, Boston
Granite-Walnut Washington,2119.0,Y,65,3230.0,Washington St, Boston
Granite-Washington Columbia I,2121.0,Y,326,173.0,Columbia Rd #173, Dorchester
Grant Manor Apartments,2118.0,Y,179,1810.0,Washington St, Boston
Green (VUP),2121.0,,2,20.0,Newton St, Brookline
Green (VUP) CDFI,2121.0,,2,,,
Greenway Apartments,2128.0,,27,172.0,Maverick St, Boston
Grove Hall Apts,2121.0,Y,104,12.0,Castlegate Rd # 9, Dorchester
Grubow (VUP),2126.0,,2,,,
Guaetta (VUP),2128.0,,2,,,
Habitat Arrowhead Site (REMS Land),2121.0,,19,205.0,E Dewey Ave, Sapulpa
Habitat Balina Pl,2124.0,,2,434.0,Massachusetts Ave Suite 201, Boston
Habitat Bradeen St,2131.0,,2,1580.0,VFW Pkwy, West Roxbury
Habitat Fairland St,2119.0,,3,434.0,Massachusetts Ave Suite 201, Boston
Habitat Regent Street,2119.0,,6,1580.0,VFW Pkwy, West Roxbury
Habitat Woodbine St,2119.0,,2,434.0,Massachusetts Ave Suite 201, Boston
Habitat-Woodville Street,2119.0,,4,434.0,Massachusetts Ave Suite 201, Boston
Hale House,2116.0,,56,273.0,Clarendon St, Boston
Haley House,2118.0,Y,26,23.0,Dartmouth St, Boston
Hamilton St Studios/Pine Street,2125.0,,52,444.0,Harrison Ave, Boston
Hammond Street,2120.0,,14,,Hammond St, Boston
Hampton House (2-44B),2118.0,,78,155.0,Northampton St, Boston
Hano Homes II,2134.0,,12,60.0,Hano St, Boston
Haraska (VUP),2122.0,,2,,,
Harbor Point,2125.0,Y,350,,Harbor Point Blvd, Boston
Harborview Condominiums,2127.0,,25,10.0,Orleans St, East Boston
Hargrove (VUP),2119.0,,3,,,
Harrison Commons,2118.0,,196,,Harrison Ave, Boston
Harrison-Albany Block Building A,2118.0,,299,300.0,Harrison Ave, Boston
Hartford Manor,2125.0,,18,,,
Hartwell Terrace,2121.0,Y,17,,Hartwell St, Boston
Harvard Commons Coop,2124.0,,45,6.0,Snowden Way, Boston
Hassan Apts (2-62),2136.0,,100,705.0,River St, Boston
Hazel Parks,2124.0,,48,3.0,Hazel St, Waltham
Hearth at 4-Corners,2121.0,,54,16.0,Ronald St, Boston
Hearth at Olmsted Green,2124.0,,59,,Hummingbird Ln, Boston
Hemenway Apartments,2115.0,Y,183,768.0,Huntington Ave, Boston
Heritage Apts (2-52),2128.0,Y,296,209.0,Sumner St, Boston
Heritage at Cleveland Circle,2135.0,,90,,,
Hiawatha|Mattapan Neighborhood Homes,2126.0,,8,65.0,Morton Village Dr, Boston
Highland Homes at Fort Hill - Home Again,2119.0,,18,58.0,Beech Glen St, Boston
Highland House,2119.0,,14,125.0,Highland St, Boston
Highland Park (2-89B),2119.0,,26,,,
Highland Park Estates - Home Again,2119.0,,6,58.0,Beech Glen St, Boston
Highland Park II (Affordable),2119.0,,11,58.0,Beech Glen St, Boston
Hillside Homes at Franklin Park,2130.0,,12,131.0,Morton St, Jamaica Plain
Historic South End Apartments,2116.0,Y,146,792.0,Tremont St #1051, Boston
Hoffman (VUP) CDFI,2124.0,,2,18.0,Tremont St Suite 500, Boston
Holgate Apartments (2-29),2120.0,,81,,,
Holmes (VUP),2121.0,,2,40.0,School St, Boston
Home Again (Back of the Hill),2120.0,,22,,,
Home For Little Wanderers,2120.0,,20,69.0,Alleghany St, Roxbury
Homes at Peter's Park,2118.0,,10,230.0,Shawmut Ave, Boston
Homestead House,2121.0,,6,1448.0,Dorchester Ave, Boston
Hope House (SPO) (Production),2119.0,,102,8.0,Farnham St, Boston
Hope House II,2125.0,,24,8.0,Farnham St, Boston
Hopkins-Capen-Mountain-Fuller,2124.0,,9,45.0,Hull St, Boston
Horizons I,2126.0,,7,1601.0,Blue Hill Avenue #205, Mattapan
Howard Dacia Homes,2125.0,,26,,,
Howard/Woodward/Dean,2125.0,,9,,,
Hub 25,2124.0,,278,25.0,Morrissey Blvd, Boston
Humboldt Avenue Apts,2119.0,,20,278.0,Humboldt Ave, Dorchester
Humphreys St Housing Homeownership,2125.0,,7,160.0,Federal St # 2, Boston
Humphreys St Housing Rental,2125.0,,11,15.0,Aberdeen St APT 2, Boston
Humphreys Street Homeowner,2125.0,,7,11.0,Humphreys St # 1, Dorchester
Hunt (VUP),2121.0,,2,,,
Huntington House,2115.0,,88,,,
Hurley (VUP),2122.0,,2,2500.0,Washington St, Roxbury
Hyde Square Commons,2130.0,,18,,390-401 Centre St, Jamaica Plain
Hyde Square Coop,2130.0,,42,,390-401 Centre St, Jamaica Plain
Hyde/Jackson Homes,2130.0,,13,,,
Hyde-Blakemore,2131.0,,13,,46-2 Blakemore St, Boston
IBA SRO Collaborative,2118.0,,11,,,
Independent Living Project,2136.0,,6,,1208B VFW Pkwy STE 301, Boston
Indigo Block (Rental),2125.0,,80,67.0,E Cottage St, Boston
Infill Apartments,2119.0,,13,17.0,Wensley St, Boston
Infill Colaborative,2120.0,,4,,,
Infill I,2121.0,,48,,,
Infill I (MHFA) ?,2124.0,,8,,,
Ingram (VUP),2121.0,,3,,,
Ink Block (Buildings 1-3),2118.0,,315,300.0,Harrison Ave, Boston
Ink Block Sepia (Building 4),2118.0,,77,300.0,Harrison Ave, Boston
Ink Block Siena (Building 5),2118.0,,76,40.0,Traveler St, Boston
Interfaith Apartments,2118.0,Y,69,282.0,Columbus Ave, Boston
Intervale St. HOME AGAIN,2121.0,,15,,Intervale St, Boston
Intervale-Fayston,2121.0,,5,,Intervale St, Boston
Intervale-Magnolia,2121.0,Y,88,,Intervale St & Magnolia St, Boston
J.J. Carroll Apts (2-37),2135.0,,64,,,
J.J. Meade (2-38),2124.0,,40,,,
Jackson (VUP),2124.0,,2,,,
Jackson Commons,2119.0,,37,1542.0,Columbus Ave, Boston
Jacob's Place,2121.0,,12,,Jacob St, Boston
Jamaica Plain Apartments,2130.0,Y,103,24.0,Lawn St B, Boston
Jamaica Plains Coop Serv,2130.0,,62,131.0,Morton St, Jamaica Plain
Jewish Community Housing for the Elderly,2135.0,,61,30.0,Wallingford Rd, Brighton
John Boyle O'Reilly School,2127.0,Y,32,,,
Johnson (VUP) CDFI,2121.0,,2,,,
JP Cohousing,2130.0,,30,,,
Julia Martin House,2130.0,,56,90.0,Bickford St, Boston
Julian Phase I - HOME AGAIN,2119.0,,13,,,
KAFANM - Circle of Haitian Women (aka Women's Institute),2124.0,,6,330.0,Fuller St, Dorchester Center
Kasanof Bakery (Rental & Ownership),2119.0,,64,,,
Keazer (VUP),2124.0,,2,,,
Kelley (VUP),2119.0,,2,99.0,Chauncy St Suite 110, Boston
Kenmore Abbey,2215.0,Y,199,490.0,Commonwealth Ave, Boston
Ketchen (VUP),2119.0,,2,196.0,Quincy St, Boston
Keystone Apartments,2124.0,Y,223,151.0,Hallet St, Boston
Kimbrough (VUP),2124.0,,2,75.0,Francis St, Boston
Kittredge Square,2119.0,,6,,Alvah Kittredge Park, Boston
Laboure,2127.0,,18,,D St, Boston
Laconia Condominiums,2124.0,,99,1200.0,Washington St, Boston
Lafayette Lofts,2111.0,,42,,,
Lamartine Homes - Home Again,2130.0,,10,155.0,Lamartine St, Jamaica Plain
Lancaster House Condominium,2118.0,,4,1501.0,Commonwealth Ave, Brighton
Landfall Apartments,2128.0,Y,111,401.0,Border St, Boston
Landfall West Apts,2128.0,,59,401.0,Border St, Boston
Langham Court,2118.0,,84,26.0,Worcester St, Boston
Laramie (VUP),2136.0,,2,,,
Larchmont Residence,2124.0,,8,193.0,Talbot Ave, Boston
Larkin (VUP),2130.0,,1,,,
Latin Academy Adaptive Re-use,2124.0,,58,205.0,Townsend St, Boston
Lawrence (VUP),2121.0,,2,77.0,Lawrence Ave, Dorchester
Lawrence Court,2116.0,,12,,Lawrence St, Boston
LBB Housing,2126.0,Y,101,15.0,Bismarck St, Mattapan
Leila Doe House,2120.0,,20,,,
Lenox Street (2-4),2118.0,,285,2.0,Lenox St, Boston
Levedo Building,2124.0,,24,,,
Leventhal House,2135.0,Y,254,28.0,Wallingford Rd, Brighton
Lewis Mall,2128.0,,47,5.0,Lewis Mall, Boston
Lithgow Apts,2124.0,,31,380.0,Talbot Ave, Dorchester Center
Little Chestnut Street Condominium,2129.0,,6,101.0,Chestnut St, Boston
Lofts at Westinghouse Plaza,2136.0,,62,1.0,Westinghouse Plaza Building C, Hyde Park
LOGO Apts (73u),2119.0,Y,91,75.0,St Alphonsus St, Boston
Long Glen Apartments,2134.0,,59,1285.0,Commonwealth Ave, Allston
Long Glen Rental II (formerly homeownership),2134.0,,33,1285.0,Commonwealth Ave, Allston
Longfellow School,2131.0,,44,885.0,South St, Boston
Longwood Row,2120.0,,25,1.0,Sewall St, Boston
Lorenzo Pitts Portfolio (JPNCD 2018),2119.0,Y,137,270.0,Roxbury St, Roxbury
Lowell Square,2114.0,Y,183,65.0,Martha Rd, Boston
Lower Mills (2-57),2124.0,Y,178,2200.0,Dorchester Ave, Boston
Lower Roxbury Tenant Corp,2120.0,,70,11.0,New Whitney St, Boston
Lucerne Gardens,2124.0,Y,45,65.0,Winston Rd, Boston
Lucky Strike Residential Project,2122.0,,22,145.0,Ipswich St, Boston
Luis (VUP),2124.0,,2,100.0,Huntington Ave Level 1, Boston
Lumen,2129.0,,30,30.0,Polk St, Boston
Lyman School Apts for the Elderly,2128.0,Y,45,54.0,Orleans St # 1, East Boston
M Walsh (VUP),2122.0,,2,840.0,Harrison Ave 1st Floor, Boston
M.E. McCormack (2-23),2127.0,,1016,7.0,Sterling Square, Boston
M.L. King Apartments (2-40),2119.0,,104,158.0,Walnut Ave, Boston
M.R. Smith (VUP),2126.0,,2,,,
Madison Melnea Cass Apts,2119.0,,76,600.0,Melnea Cass Blvd, Boston
Madison Parcel 10 Bldg C (Belvidere/Dalton East Offsite),2119.0,,30,,,
Madison Park III,2120.0,Y,120,122.0,Dewitt Dr, Boston
Madison Park IV,2119.0,,143,184.0,Dudley St #102, Boston
Main Street Townhouses,2129.0,,26,1.0,Canal St, Boston
MainStay House,2129.0,,14,29.0,Crafts St #260, Newton
Malone Apts (2-89C),2136.0,,102,,,
Mandela Homes,2118.0,Y,276,1855.0,Washington St, Boston
Manganello (VUP),2128.0,,2,,,
Maple Commons,2119.0,,41,15.0,Maple St, Boston
Marcus Garvey Gardens,2119.0,Y,161,,,
Marksdale Gardens I&II,2121.0,Y,178,95.0,Humboldt Ave # A, Dorchester
Marriro (VUP) CDFI,2121.0,,3,,,
Martinex-Alamo (VUP),2125.0,,3,,,
Mary Colbert Apartments,2129.0,Y,30,20.0,Devens St, Charlestown
Mason Place,2111.0,Y,128,,Mason St, Boston
Mass Pike Towers,2116.0,Y,200,,336B Tremont St, Boston
Mattapan Apartments,2122.0,Y,183,,725-735 Adams St, Boston
Mattapan Center for Life,2126.0,,45,555.0,River St, Mattapan
Mattapan Heights I AKA: The Foley,2126.0,,176,,229A River St, Mattapan
Mattapan Heights II,2126.0,,83,,229A River St, Mattapan
Mattapan Heights III & IV,2126.0,,73,,229A River St, Mattapan
MAVERICK GARDENS I,2128.0,,150,31.0,Liverpool St, East Boston
Maverick Landing (2-8),2128.0,,396,31.0,Liverpool St, East Boston
McCrohon House - HEARTH (SPO),2130.0,,16,,,
Mei Wah Village,2111.0,,41,10.0,Maple Pl, Boston
Mendes (VUP),2125.0,,3,,,
Meranda (VUP),2121.0,,2,,,
Mercantile Building,2109.0,Y,122,111.0,Atlantic Ave, Boston
Meridian House,2128.0,,12,408.0,Meridian St, East Boston
Meridian St,2128.0,,5,,Meridian St, Boston
Methunion Manor Coop,2116.0,Y,149,405.0,Columbus Ave #101, Boston
Mezzo Design Lofts,2129.0,,146,30.0,Caldwell St, Charlestown
MHPI Community Apartments,2120.0,,6,43.0,Smith St, Boston
MHPI II,2130.0,,11,,,
MHPI III,2130.0,,12,,,
MHPI IV-A,2130.0,Y,10,,,
MHPI IV-B,2119.0,Y,10,,,
MHPI IV-C,2124.0,,12,,,
MHPI V,2121.0,,16,,,
MHPI VI,2125.0,,15,,,
Midway Phase I,2127.0,,44,15.0,Channel Center St, Boston
Midway Studios,2127.0,,89,15.0,Channel Center St, Boston
Miller (VUP),2122.0,,1,850.0,Albany St, Roxbury
Ming's Restaurant,2118.0,,38,1145.0,Washington St, Boston
Minot Hall Condominium,2118.0,,45,15.0,Park Dr, Boston
Mishawum Assisted Living,2129.0,Y,66,197.0,8th St #900, Charlestown
Mishawum Park,2129.0,Y,337,338.0,Main St, Boston
Mission Hill Flats,2120.0,,40,1457.0,Tremont St, Boston
Mission Hill Phase I - HOME AGAIN,2120.0,,22,1620.0,Tremont St #2nd, Boston
Mission Hill Phase II,2130.0,,34,1620.0,Tremont St #2nd, Boston
Mission Hill Scattered Sites,2120.0,,21,1620.0,Tremont St #2nd, Boston
Mission Hill-Phase III - Home Again,2120.0,,24,1620.0,Tremont St #2nd, Boston
Mission Main Phase I,2120.0,,310,43.0,Smith St, Boston
Mission Main Phase II,2120.0,,139,43.0,Smith St, Boston
Mission Main Phase III,2120.0,,86,43.0,Smith St, Boston
Mission Park,2115.0,Y,775,,Mission Park Dr, Boston
MLK/Washington Commons,2119.0,,49,,,
Monsignor Lyons Condo II,2127.0,,6,,,
Monsignor Lyons II- HOME AGAIN,2127.0,,6,,,
Monsignor Lyons Townhouses,2127.0,,10,,,
Montebello Rd Coop,2130.0,,7,111.0,Perkins St, Boston
Moore (VUP),2126.0,,2,272.0,Itasca St, Boston
Moreland St Apts,2119.0,,12,13.0,Shetland St, Boston
Morton Apts,2124.0,Y,24,65.0,Morton Village Dr, Boston
Morton Village Apts (AOP),2126.0,,207,65.0,Morton Village Dr, Boston
Morville House,2115.0,Y,147,100.0,Norway St, Boston
Mount Vernon St Housing Project (Phase 1),2125.0,,205,6.0,Joy St, Boston
Mr. Lee's Lodge,2119.0,,17,230.0,Lee Burbank Hwy, Revere
Msgr. Powers/L St. (667-3),2127.0,,68,,,
Mt Pleasant Apts,2119.0,Y,98,70.0,Perkins St, Somerville
Mt Pleasant Home Inc.,2199.0,,60,301.0,S Huntington Ave, Jamaica Plain
Mt. Bowdoin/Erie Ellington - HOME AGAIN,2121.0,,16,31.0,Erie St, Boston
Munevar (VUP),2130.0,,3,,,
Mystic Studios,2118.0,,32,36.0,Traveler St Unit 1, Boston
Nashua St Residences at the Fleet Center,2114.0,,503,1.0,Nashua St, Boston
Nate Smith House,2130.0,,44,155.0,Lamartine St, Jamaica Plain
Nazing Court,2121.0,,151,232.0,Seaver St, Boston
NEBH Redevelopment,2120.0,,75,125.0,Parker Hill Ave, Boston
NEMA Boston,2127.0,,414,399.0,Congress St, Boston
Neponset Fields - Elderly Housing (202),2136.0,,31,29.0,Neponset Field Ln, Hyde Park
New England Heritage Homes 1,2124.0,,16,24.0,Oakton Ave, Dorchester
New England Heritage Homes 2,2124.0,,16,24.0,Oakton Ave, Dorchester
New England Heritage Homes 3,2124.0,,16,24.0,Oakton Ave, Dorchester
New England Heritage Homes 4,2124.0,,16,24.0,Oakton Ave, Dorchester
New England Heritage Homes 5,2124.0,,16,24.0,Oakton Ave, Dorchester
New England Heritage Homes 6,2124.0,,16,24.0,Oakton Ave, Dorchester
New England Heritage Homes 7,2124.0,,16,24.0,Oakton Ave, Dorchester
New Port Antonio Apts,2119.0,Y,227,530.0,Warren St, Boston
Newcastle/Saranac,2127.0,Y,97,,Newcastle Ct, Boston
Nor-al,2124.0,Y,57,339.0,Talbot Ave, Boston
Norfield,2121.0,Y,45,,Northfield Ave, Quincy
Norflett (VUP),2121.0,,2,,,
Norfolk Street Transitional,2126.0,,3,,,
North Suffolk Group Home,2128.0,,28,14.0,Porter St, East Boston
North Suffolk Group Home 2,2136.0,,28,588.0,Beech St, Boston
Northampton Street,2118.0,,32,,Northampton St, Boston
Northampton Tower,2118.0,,347,35.0,Northampton St, Boston
Northampton/Mass. Ave,2118.0,,12,35.0,Northampton St, Boston
Norway Housing,2115.0,Y,136,30.0,Hemenway St, Boston
Norwell Whitfield (HOME AGAIN),2124.0,,20,,Norwell St, DORCHESTR CTR
Nu Life Development,2121.0,,16,,,
OAK ROW,2132.0,,80,1235.0,VFW Pkwy, West Roxbury
Oak Terrace,2111.0,Y,88,888.0,Washington St, Boston
O'Connor Way [Pier 4/Phase III Offsite Affordables],2127.0,,47,,O'Connor Way, Boston
Off Centre Lofts,2130.0,,21,251.0,Heath St, Jamaica Plain
Old Colony (2-24),2127.0,,873,224.0,Old Colony Ave, Boston
Old Colony Square,2127.0,,24,,Old Colony Ave, Boston
Oliveira (VUP),2125.0,,2,55.0,Fruit St # 410, Boston
Olmstead Green Phase 2,2124.0,,50,,Hummingbird Ln, Boston
Olmstead Green Phase I Rental,2124.0,,51,,Hummingbird Ln, Boston
Olmsted Green - Mixed Income Rental,2124.0,,100,,Hummingbird Ln, Boston
Olmsted Green Phase 4,2124.0,,47,,Hummingbird Ln, Boston
Olmsted Green Rental Housing Phase 3,2124.0,,50,,Hummingbird Ln, Boston
Olmsted Place,2115.0,,196,,Olmsted Rd, Brookline
On Luck Housing,2111.0,Y,75,15.0,Essex St, Boston
One Canal,2114.0,,310,1.0,Canal St, Boston
One Garden Condominium,2114.0,,12,1.0,Charles St S, Boston
One Greenway (Parcel 24 North/Affordable),2111.0,Y,312,99.0,Kneeland St, Boston
One Lenox (SPO),2118.0,,26,,,
One Lincoln Plaza,2111.0,,85,10.0,Lincoln St, Boston
One Newcomb Place,2118.0,,23,1.0,Newcomb St, Boston
Orchard Gardens,2119.0,,331,906.0,Albany St, Boston
Orchard Park (Off-Site Phase I),2119.0,,78,906.0,Albany St, Boston
Orient Heights (200-8),2128.0,,331,,District of Freedom#8573311~!#, Boston
Otis Field Estates,2121.0,,10,17.0,Main St, Watertown
Owens (VUP),2121.0,,2,,,
Oxford Ping On,2111.0,,67,,14-14A Oxford St, Boston
Oxford Place,2111.0,Y,39,,Oxford Pl, Boston
Packard Crossing Phase I,2134.0,,38,,79-83 Gardner St, Boston
Parcel 24/South Homeownership,2111.0,,51,,,
Parcel 25 (Phase 1A),2120.0,,40,,,
Parcel 39A,2129.0,,54,,,
Parcel P-2,2129.0,,21,,,
Parcel R-8,2118.0,,3,,,
Parcel U (Phase A & C),2130.0,,102,,,
Parcel U (Phase B),2130.0,,30,,,
Paris Village,2128.0,,32,,Paris St, Boston
Park Cinema,2122.0,Y,38,25.0,District Ave, Dorchester
Park Congregate,2124.0,,18,,,
Park Gardens,2119.0,Y,38,,Leslie Park, Boston
Park Lane Seaport Apartments (Massport Parcels G & J),2127.0,,465,,One Park Ln, Boston
Parker Hill Apts,2120.0,,90,170.0,Parker Hill Ave, Boston
Parkside on Adams,2131.0,,43,4236.0,Washington St, Boston
Parkview SRO,2115.0,,61,,,
Parmelee Court,2118.0,,74,1782.0,Washington St, Boston
Parry (VUP),2121.0,,2,,,
Pasciucco Apts (2-54),2125.0,,92,330.0,Bowdoin St, Boston
Pass (VUP),2124.0,,2,,,
Patricia White (2-71),2135.0,,225,,,
Patrick (VUP),2126.0,,2,,,
PBX Residences,2111.0,,46,,,
Peabody Building,2124.0,,18,,195-197 Ashmont St, Boston
Peabody Square/Englewood (2-83),2124.0,,103,,,
Penniman on the Park,2134.0,,36,25.0,Penniman Rd, Boston
Penny Savings,2118.0,,23,30.0,Un Pk St, Boston
Pereira (VUP),2125.0,,2,,,
Perkins (VUP),2126.0,,2,1284.0,Blue Hill Avenue, Mattapan
Peterborough Housing,2215.0,Y,220,78.0,Peterborough St # 11, Boston
Peters (VUP),2121.0,,2,311.0,Bowdoin St, Boston
Phillips Brooks School,2121.0,,56,1.0,Harvard Yard, Cambridge
Pickle Factory (Oliver Lofts),2120.0,,62,,,
Pine Street Harrison (SPO),2118.0,,11,444.0,Harrison Ave, Boston
Pine Street Inn (689-1),2118.0,,150,444.0,Harrison Ave, Boston
Pine Street Park Dr (SPO),2215.0,,22,,Pine St, Dedham
Pinnock (VUP),2126.0,,2,,,
Pond View Apartments,2130.0,Y,60,685.0,Centre St # 207, Jamaica Plain
Port 45,2127.0,,104,45.0,W 3rd St, Boston
Portis Family House,2115.0,,7,226.0,S Huntington Ave, Jamaica Plain
Powell (VUP),2121.0,,2,,,
Prang Estates,2119.0,,33,,Louis Prang St, Boston
Project Family Independence,2119.0,,15,11.0,Mt Pleasant Ave # 103, Roxbury
Putnam Place,2121.0,,9,,Putnam Pl, Boston
Quincy Commons,2119.0,,40,1.0,Canton Rd #15, Quincy
Quincy Heights,2121.0,Y,129,86.0,Crawford St, Dorchester
Quincy Tower,2116.0,,161,5.0,Oak St W, Boston
RAP-UP I,2119.0,Y,33,31.0,Marcella St, Boston
RAP-UP II B,2119.0,Y,51,,,
Raven-Ramsey-Folsom,2125.0,,7,,Folsom St, Boston
Reddick (VUP),2119.0,,2,1950.0,Massachusetts Ave, Cambridge
Renwood-Cunard,2120.0,,17,,,
Reservoir Towers,2135.0,Y,242,1925.0,Commonwealth Ave, Boston
Residences At Bigelow Court,2135.0,,26,111.0,Tremont St #109, Brighton
Residences at Brighton Marine,2135.0,,102,77.0,Warren St, Brighton
Residences at Dahlgren Hall,2127.0,,18,,,
Residences at Fairmount Station,2136.0,,27,11.0,2nd New Way, Hyde Park
Riley House - 202,2136.0,,41,39.0,Maple St, Hyde Park
Rivers Edge Condominiums,2126.0,,62,111.0,Pleasant St, Watertown
RMSC Family House Shelter Conversion,2121.0,,8,321.0,Blue Hill Avenue, Boston
